Usuario;Coorporativa;soyvaldiviacl;latercera;elmostrador
D_Navea;0.301339;0.270089;0.209821;0.21875
ContrerasSeitz;0.213265;0.306122;0.201531;0.279082
MaiteFuenzalid4;0.378947;0;0.378947;0.242105
JavieraMC5;0;1;0;0
Ariel_alfonsooo;1;0;0;0
Alex62893914;0;0;1;0
RuthyMillar;0.222222;0.305556;0.25;0.222222
JoseTrato;0.285714;0.232143;0.196429;0.285714
Victor28120720;0;1;0;0
CamiloNS2;0;0;0;1
Wiwi694;0;0;0.5;0.5
Gerson07465461;0.289286;0.260714;0.225;0.225
Patrick89717030;0;1;0;0
Natalia64457099;0.17289;0.242695;0.292208;0.292208
robin_deric;0.210714;0.261607;0.222321;0.305357
Yonatha69507659;0.215368;0.309524;0.198052;0.277056
Aliciq86313067;1;0;0;0
FelipeInsulza;0;0;1;0
johane_delgado;0;1;0;0
Alberto80081029;0.202381;0.22619;0.285714;0.285714
fefytahh;0.215659;0.296703;0.231456;0.256181
Fabin26884352;0.270658;0.251751;0.17507;0.302521
Cindi66916851;0.289286;0.260714;0.225;0.225
milenkagonzale3;0.3;0.269048;0.195238;0.235714
MaRaquel19;0;1;0;0
Jacklin36421382;0;0;0.5;0.5
anaishe41331857;0.5;0;0;0.5
cristia84856369;0.157738;0.252976;0.294643;0.294643
untalthiele;0;0.675;0;0.325
Melanie23554148;0.215659;0.256181;0.296703;0.231456
KarinCB;0.260714;0.289286;0.225;0.225
Jair58939026;1;0;0;0
PaulaXPenalolen;0.28125;0.21875;0.28125;0.21875
Patrici76204469;0;1;0;0
strellaerrante;0;0;0;1
_Dany_0n;1;0;0;0
AbigailSalasCa2;0.22449;0.26148;0.215561;0.298469
orlandocanota;0.199405;0.252976;0.294643;0.252976
Basso69675358;0.215179;0.301339;0.255357;0.228125
evyengh;0;0;0;1
PedroJu63963174;0.193182;0.282062;0.306818;0.217938
SpringCami;0;0;0.5;0.5
DanielC54749729;0;0;0;1
ttxfwnH_9;0.301339;0.232887;0.198661;0.267113
62alejandrogon1;1;0;0;0
JanetPavez1;0;0;0.5;0.5
Rfro16;0.216912;0.254727;0.22584;0.302521
gracia65;0.24026;0.292208;0.233766;0.233766
Ana82029572;1;0;0;0
GeorgesBertin11;0;0;1;0
alvarogd96;0;0;0.5;0.5
CristianJGalle2;0.234432;0.296703;0.234432;0.234432
Gustavo82794538;0;1;0;0
macbu1136;0.241944;0.304511;0.189581;0.263963
NicoIgn57935728;0.267857;0.196429;0.267857;0.267857
casiobligacion;0.192708;0.301339;0.232887;0.273065
MRamirez_v;0;1;0;0
AcuaJos;0.21131;0.294643;0.241071;0.252976
julianadanae1;1;0;0;0
SebastinCaroGu1;0.5;0;0.5;0
Pame51806241;0.232732;0.296703;0.232732;0.237834
MauricioMardo18;0;1;0;0
alamerams;0.223214;0.266071;0.3;0.210714
FelipeNMC94;0;1;0;0
19R0m1n4;0;0;1;0
Sergio53560493;0.270408;0.229592;0.201531;0.298469
NanneScarlett;0;0;0.5;0.5
MauricioRuizBel;0;1;0;0
filusach;1;0;0;0
CalcumilCaro;0.333333;0.666667;0;0
TaigaRecuperem1;0.289286;0.184524;0.289286;0.236905
ahorcalos;0.214286;0.214286;0.261905;0.309524
sebacy;0;1;0;0
camila56746775;0.28125;0.21875;0.28125;0.21875
Paolita87666647;0.278571;0.3;0.207143;0.214286
YonaMuller;0;0.4;0.3;0.3
JazminDayanaQu1;0.205357;0.25;0.294643;0.25
tom_santam;0;0.325;0.675;0
olivaresabara;0.267857;0.294643;0.232143;0.205357
Elias_pankus;0.22936;0.306818;0.219852;0.24397
Nicole31600480;0;1;0;0
ivonne_gg;0;1;0;0
Pame271076;0;1;0;0
AmiyahNP;0.289286;0.242857;0.225;0.242857
CamilaGainza1;0.333333;0;0.333333;0.333333
MARIASOLANGEPA3;0;1;0;0
cotegp;0;0;1;0
marquez_anyelo;0.218537;0.298469;0.218537;0.264456
_KarenS;0.675;0.325;0;0
Karliz05905612;0.303571;0.267857;0.214286;0.214286
logan7720;0;0.406015;0.270677;0.323308
Makishi_FN;0;0;0;1
blondiecl2;0.267857;0.196429;0.267857;0.267857
RaulSauerbaum;0;1;0;0
jeria_rocio;0.267857;0.196429;0.267857;0.267857
DL_1981;0.236905;0.289286;0.236905;0.236905
Alexand65344524;0;0;0.5;0.5
pamerh;0;1;0;0
Vichoo_YG;0.217293;0.274248;0.203947;0.304511
Yaneth08300048;0.285714;0.196429;0.285714;0.232143
Luis42340669;0.5;0;0;0.5
AlexiMoralesZa1;0.241944;0.304511;0.189581;0.263963
Mcaroli56252027;0.22449;0.26148;0.215561;0.298469
DanielAndrsDa10;0;0;0;1
Lvillanuevaoss1;0;1;0;0
XimenaSilva22;0.196429;0.241071;0.267857;0.294643
mabeldi10444135;0.298469;0.252551;0.22449;0.22449
BelgicaPuentes;1;0;0;0
ConstanzaVmc;0;0;0;1
lieceloth;0.333333;0;0.333333;0.333333
Juanign34082741;0.5;0;0.5;0
rboa2;0;1;0;0
Josedamian72;0.234432;0.296703;0.234432;0.234432
GersonRubio13;0.183673;0.247449;0.298469;0.270408
NayaKassy;0;0;1;0
Rossi92363617;0.72;0;0;0.28
reynaarvalo3;1;0;0;0
MariaPaula_U;0;1;0;0
Enola69318187;0.273065;0.301339;0.212798;0.212798
CoteViego;0;1;0;0
marcelo_lavado;0.5;0;0;0.5
ZepedaMatia;0.285714;0.196429;0.232143;0.285714
Natalia07580641;0.5;0;0.5;0
TheRealBigKabu;0.204613;0.261161;0.232887;0.301339
kineosorio;0.220918;0.259694;0.220918;0.298469
Cecilia43365040;0.205357;0.258929;0.294643;0.241071
andreasalomon79;0.214286;0.258929;0.232143;0.294643
Sarita76858940;0;0;0;1
Javier00613825;0.184524;0.236905;0.289286;0.289286
GRaibaudi;0;0;0.5;0.5
DonosoN4cho;0.289286;0.242857;0.225;0.242857
BrevilViviana;0;1;0;0
Marcela96287233;0.1625;0.248214;0.294643;0.294643
camor2006;0;0;0.5;0.5
Robertita_F;0.301339;0.235268;0.195089;0.268304
CarlosBravoA3;0.285714;0.232143;0.196429;0.285714
Claudia34923178;0;0;0;1
yanez_lazo;0;0;0;1
ParkHye22372443;1;0;0;0
Nena7Bella;0;0;1;0
MM_s___________;0.229592;0.252551;0.219388;0.298469
GuillermoRenCo2;1;0;0;0
dlh_panda;0;0;0;1
Sigrid37198905;0;1;0;0
patyPea49955139;1;0;0;0
silvialobosmar1;0;1;0;0
margaritavigue1;0.245671;0.21645;0.292208;0.245671
leiva_retamal;0;0;0.5;0.5
HalfLion1;1;0;0;0
Amyra_28;0;0;0;1
hmrmagma;0.219888;0.302521;0.206933;0.270658
gripada;0.333333;0;0.333333;0.333333
Nicolss27694852;1;0;0;0
xiinnyta;0;0;0;1
lorett_ann;0.296703;0.259158;0.221612;0.222527
si89943828;1;0;0;0
MauroEx57553526;0.304511;0.245771;0.179041;0.270677
vicortega16;1;0;0;0
miguelm56154649;0.333333;0;0.333333;0.333333
igtorresz;0.248292;0.307453;0.185559;0.258696
marjorc25;0.152597;0.262987;0.292208;0.292208
janetherreramo1;0;0;1;0
tatianazenten10;0;1;0;0
antillanca_jose;0.270408;0.298469;0.183673;0.247449
LauraChavezBra1;0.298469;0.264456;0.241497;0.195578
LuisRiv89176016;0;0;1;0
Mara89941572;1;0;0;0
jesus_sims;0.303571;0.239286;0.2;0.257143
RiosUnion;1;0;0;0
Priscil10037698;0;0;1;0
ContastiJorge;0.675;0.325;0;0
EduardoFariasG6;0;0;0.5;0.5
Aire_Sur_Chile;0;1;0;0
