Usuario;Coorporativa;soyvaldiviacl;latercera;elmostrador
Claudia43687055;0;1;0;0
AlondraLaraO;0.246582;0.290841;0.243336;0.219241
vicyame;0;1;0;0
heterenganado;0.263095;0.284524;0.210714;0.241667
ferreras_julia;0;0;1;0
GermanCastilloM;0.247619;0.290476;0.192857;0.269048
Sr_Ballesteros;0.26917;0.288078;0.173582;0.26917
yibopeach_;0.245671;0.245671;0.262987;0.245671
jtpuelmaoss;0.241071;0.252976;0.27381;0.232143
Rodrigocl_;0.205357;0.258929;0.267857;0.267857
totiorellanag;0.241071;0.287202;0.232887;0.238839
peti_mary;0;0;0;1
Cesario_Perez;0.225;0.225;0.257143;0.292857
Nacho_M_E;0.228571;0.235714;0.257143;0.278571
MarcelaTorca;0.228853;0.287594;0.220865;0.262688
Dargentino1;1;0;0;0
Jea60930295;0.219888;0.264706;0.283613;0.231793
jmdocentecoach;0.22619;0.293793;0.213861;0.266156
misitioweb_cl;0.25;0.267857;0.205357;0.276786
Eluminar;0;0;1;0
pino_polanco;0.231456;0.280907;0.231456;0.256181
renebarra;0;1;0;0
clemebriceno;0.247253;0.280907;0.231456;0.240385
danilofuents;0.247253;0.234432;0.234432;0.283883
MacarenaZuniga3;0.241071;0.276786;0.241071;0.241071
_delivrance;0;1;0;0
nefine;0.263636;0.292532;0.221916;0.221916
PabloRapp;0.236735;0.259694;0.282653;0.220918
VoceroRegional;0.231456;0.280907;0.231456;0.256181
elcuragatica;0.272642;0.287582;0.219888;0.219888
COresistefuerza;1;0;0;0
annie_schleiche;0.22619;0.278571;0.278571;0.216667
ArchivoDesastre;0.241071;0.258929;0.214286;0.285714
carlmejia4;1;0;0;0
DuplosCL;0.216912;0.288078;0.22584;0.26917
prensaestudiant;0.222527;0.282967;0.222527;0.271978
amoniacuaterna1;0.21645;0.245671;0.262987;0.274892
daniriosv;0.237095;0.237095;0.237095;0.288716
Juventud_2021CL;0.257937;0.289683;0.22619;0.22619
rubendariodiazm;0.28125;0.286352;0.166135;0.266263
TutoDeLaMerced;0.258503;0.201531;0.258503;0.281463
Trucksur;0.255357;0.288393;0.228125;0.228125
Tvprimeoficial;0.263095;0.278571;0.22619;0.232143
Joao33ad;0;0;0;1
isellegue;0.235231;0.292696;0.230129;0.241944
Kaori953;0.405263;0.236842;0;0.357895
oficialythal01;0.210714;0.232143;0.278571;0.278571
jesusberbesi;0.258046;0.296725;0.187182;0.258046
AconcaguaNews;0.221376;0.26917;0.283613;0.22584
Estefanie_TB;0;0.279426;0.398086;0.322488
SaraTanes;0.209694;0.267347;0.228571;0.294388
nahuelbutanews;0.246173;0.294388;0.235204;0.224235
Anthony42387468;0.218881;0.274645;0.291562;0.214912
MMAgazinecl;0;1;0;0
chuncha_solange;0.272976;0.29869;0.152381;0.275952
LaNocheChilena;0.229592;0.283673;0.229592;0.257143
vendenostuauto;0.232843;0.283613;0.193978;0.289566
henrymichi;1;0;0;0
clauflower1;0;1;0;0
MaryuriRG;0.264286;0.207143;0.264286;0.264286
cata306;0;0;0;1
angelgallardo63;0.221532;0.297447;0.19755;0.283471
Parjovenlara;1;0;0;0
oscarmonroig;0.235283;0.299254;0.232732;0.232732
gustavo87203912;0.236735;0.282653;0.236735;0.243878
CEELoBarnechea;0.270089;0.290179;0.189732;0.25
Marcos_Verenz;0;1;0;0
kattymbelen;0.245798;0.283613;0.22584;0.244748
AJshepherd85;0;0;1;0
_JaimeMorales;0.229592;0.251276;0.272959;0.246173
ResultadosU;0.211039;0.262987;0.262987;0.262987
ClaudiaMuder;0.248214;0.28125;0.202232;0.268304
Juliet35573804;0.206169;0.280844;0.217532;0.295455
OzarxFraternity;0;0;1;0
mariapazsn;0;1;0;0
arrossalinas;0.262987;0.251623;0.262987;0.222403
VernicaAdames3;0.234034;0.290756;0.241176;0.234034
RodrigoVillaSi;0.23183;0.293546;0.259712;0.214912
EnzoPedrazzini;0.192857;0.278571;0.25;0.278571
yasnag10;0.315789;0.315789;0;0.368421
exe_quintana;0.23183;0.287594;0.244779;0.235798
BorgesEspinola;0.222269;0.252941;0.234034;0.290756
venecilla;0.241071;0.276786;0.25;0.232143
FatmenTraveling;0.208163;0.262245;0.235204;0.294388
Nahuellautaro18;0.254396;0.279121;0.212088;0.254396
juandediosbust3;0.264319;0.303242;0.16812;0.264319
LibreNercado;0.233929;0.29375;0.222321;0.25
luchoramona;0;1;0;0
knoxfox69;0;0;1;0
LibMiskatonic;0.25;0.297619;0.22619;0.22619
LaCuyanaMorena;0;1;0;0
lookwoman;0.331579;0.396491;0.27193;0
robertoceronr;0.219643;0.264286;0.292857;0.223214
Andre_S_Duarte;0.192708;0.273065;0.28125;0.252976
Luigi_r22;0.241071;0.293155;0.232887;0.232887
TavidDe;0.378947;0;0.310526;0.310526
Piri_Iriarte;0.264286;0.232143;0.239286;0.264286
margaritan066;0.264456;0.287415;0.229592;0.218537
Jev_IsMyAngel;0.238839;0.28125;0.21875;0.261161
AccionFem;0.263636;0.292532;0.180195;0.263636
m0983;0.268089;0.219852;0.24397;0.268089
_oscarDeeJay;0.28125;0.248214;0.222321;0.248214
ReasonToLive666;0.296454;0.27148;0.163561;0.268504
QuEenOfLife27;0.201531;0.26148;0.252551;0.284439
Sakuloko;0.268089;0.219852;0.24397;0.268089
HombreCaminante;0.262987;0.245671;0.21645;0.274892
JuanDan76436486;0;1;0;0
PabloMHerbalife;0.22619;0.284524;0.22619;0.263095
Natyhamilton_;0.248214;0.228571;0.248214;0.275
Xecthor;0.271022;0.296226;0.186933;0.245819
eduardorisco;0.27551;0.23852;0.22449;0.26148
riccidaniel1986;0.23183;0.291562;0.218881;0.257728
rubenosky77;0.228853;0.287594;0.228853;0.254699
el_stttteban;0.208163;0.262245;0.235204;0.294388
sergiogaray15;0;1;0;0
fernando_32_7;0;0;0;1
pinto_omar;0;0;1;0
nadya_junge;0.268089;0.24397;0.219852;0.268089
DireccionFer;0.225;0.289286;0.242857;0.242857
Anne40774955;0.174107;0.29375;0.266071;0.266071
JuanaVicentespm;0.290816;0.260204;0.17602;0.272959
SMAPSChile;0.245798;0.273634;0.188025;0.292542
Kroli_g;0.277094;0.302237;0.159791;0.260879
ohevia;0.232143;0.267857;0.214286;0.285714
AlonsoOliveOil;0;0;0;1
Ceder_ULagos;0.209484;0.288715;0.231993;0.269808
JoalviroJose;0.26511;0.247253;0.215659;0.271978
_13M4rltz4_QM;0.279975;0.26148;0.197066;0.26148
dgalarce;0.223214;0.244643;0.244643;0.2875
AlfonsoAcuaN1;0.242857;0.282143;0.185714;0.289286
CamilaLabraa2;1;0;0;0
Cabello07Jose;0.23474;0.292532;0.23474;0.237987
unacurandera;0.289286;0.273214;0.216667;0.220833
LuisRAvilez;0;0;0;1
jerry_fox;0.201648;0.279121;0.247253;0.271978
NoticiasRios;0.241071;0.276786;0.241071;0.241071
rodrigo80398051;0.25;0.25;0.25;0.25
hiddlestonemL;1;0;0;0
LMachad46217214;0.261607;0.283036;0.210714;0.244643
CesarJorqueraM;0.219852;0.29731;0.273191;0.209648
ganalicitacion1;0.314593;0.400718;0;0.284689
MoloiNoks;0.291165;0.291165;0.156767;0.260902
usaaragones781;0;0;0;1
JorgeRojasDiaz;0.285714;0.264286;0.264286;0.185714
elabullangero;0.216912;0.288078;0.240284;0.254727
Magalarium;0.273634;0.292542;0.198004;0.235819
knox_rojas;0;0.35;0;0.65
ElisaRayen;0.247046;0.292696;0.184479;0.275779
RodrigoHBr;0.252355;0.27708;0.232732;0.237834
TabitaMicalMoli;0.252551;0.284439;0.247449;0.215561
JuanVeraPinto1;0;0;1;0
sochikido;0.249008;0.285218;0.232887;0.232887
CofreMyrna;0;1;0;0
fa3asencio;0.260902;0.230639;0.217293;0.291165
femmaria673;0.215561;0.23852;0.26148;0.284439
EraHijo;0.210714;0.278571;0.232143;0.278571
nicolaschinaski;0;0;0;1
AlmonaVale;0.183333;0.269048;0.257143;0.290476
exo_funny_cute;0.254396;0.236813;0.22967;0.279121
riquelmeclaudio;0.261161;0.220982;0.224702;0.293155
LindseyKThePlug;0.174107;0.29375;0.266071;0.266071
ClaudioOK7;0.248214;0.275;0.228571;0.248214
Ntulage;0.262987;0.204545;0.280844;0.251623
Guiaminerachile;0.218537;0.281463;0.218537;0.281463
samigonsa;0.261905;0.244048;0.196429;0.297619
Laloboestepario;0;0;0;1
roberta_mclean;0;0;0;1
NataliaBrigagao;0;0;0;1
El__Mota;0.204221;0.299351;0.233442;0.262987
tiempovaldivia;0.25;0.285714;0.232143;0.232143
Bastianwoolf;0.291562;0.278613;0.214912;0.214912
Ruben_Clunes;0.216912;0.288078;0.22584;0.26917
Fernand59209156;0.239992;0.301805;0.232732;0.225471
leoalarcon;0.229911;0.285714;0.234375;0.25
MockingBird65_;0.212245;0.282653;0.252551;0.252551
LuisArmandoski;0.233929;0.29375;0.210714;0.261607
hlulloac;0;1;0;0
Kinder78006040;0.223214;0.25;0.241071;0.285714
INSAT_VALD;0.200893;0.28125;0.241071;0.276786
CarlosS86370817;0.252976;0.241071;0.22619;0.279762
Damianvaldes12;0.242695;0.271916;0.242695;0.242695
elartesecompart;0.236735;0.259694;0.220918;0.282653
FundacionTesla;0.215561;0.284439;0.23852;0.26148
AngelicaBarraza;0.245918;0.283673;0.245918;0.22449
Cintita25560574;0.239796;0.280612;0.221939;0.257653
marcoqz;0;0;0;1
pabloelguetam;0.234375;0.285714;0.25;0.229911
celine_lavergne;0.227679;0.295281;0.216837;0.260204
tenpaz;0;0;0;1
RodrigoNacho;0.283883;0.259158;0.197802;0.259158
Erika628;0.210714;0.275;0.257143;0.257143
JDilsad;0;1;0;0
JoeAfilo;0.288393;0.268304;0.235268;0.208036
BuenasTardehxD;0;0;0.41;0.59
gabe0005;0.25;0.295918;0.229592;0.22449
kijote;0.218537;0.287415;0.27551;0.218537
TomasSanhuezaX;0.301786;0.255357;0.221429;0.221429
rreyesvisual;0.333333;0;0;0.666667
r_alejandro_h9;0.242695;0.271916;0.242695;0.242695
aleherediamayo;0.223214;0.227679;0.290179;0.258929
EDDIETORRESARG2;0;1;0;0
MobsCraft3;0.278571;0.269048;0.204762;0.247619
osoalbiverde;0;1;0;0
joaquincolipai;0.233929;0.29375;0.210714;0.261607
maluespa;0.246173;0.294388;0.235204;0.224235
TerenceLeungSF;0;1;0;0
tdelterror;0;0.6;0.4;0
Joyaochoagmail1;0.22619;0.273809;0.22619;0.273809
AHuenchumilla;0.225;0.289286;0.242857;0.242857
Deborah32212113;0.289286;0.273214;0.189286;0.248214
ngb_rico;0;0.41;0.59;0
sandrapaulinand;0.22967;0.236813;0.254396;0.279121
PAULINAVALENCI3;0.240909;0.27013;0.27013;0.218831
Corredorpropd;0;1;0;0
SurautosCl;0.366667;0.633333;0;0
urbanshoelovers;0.217533;0.269481;0.217533;0.295455
caco_fonia;0.20098;0.289566;0.238796;0.270658
isimunozp;0.292696;0.270677;0.189581;0.247046
ClaudioDiazAnd;0.267857;0.285714;0.178571;0.267857
lolita_rica69;0.241497;0.241497;0.235544;0.281463
DainaGrinbergs;0.22619;0.284524;0.263095;0.22619
Mauro6514;0.280612;0.239796;0.19898;0.280612
JavierD19285233;0;0.6;0;0.4
IURUGUAYO1;0.213936;0.257703;0.238796;0.289566
GEANNYFIGUEROA;0;0;0;1
barryalva;0.245671;0.268939;0.21645;0.268939
loayalau;0.247619;0.284524;0.220238;0.247619
toadlina;0.278571;0.262245;0.17551;0.283673
TuRodrigo_;0;1;0;0
cpando12;0.253205;0.259158;0.209707;0.27793
cba_figueee714;0.206731;0.280907;0.256181;0.256181
pallards;0;0.35;0.65;0
Clia1985;0.254329;0.295184;0.219426;0.231061
AGARV;0.218187;0.288715;0.256002;0.237095
furryvalley;0;0;1;0
IvonneRechazo;0.288393;0.288393;0.187946;0.235268
catahjimenez;0.278571;0.257143;0.253571;0.210714
inesevidal;0.202468;0.288078;0.254727;0.254727
yDaphhnetce;0;0;0;1
expressopodcast;0.229592;0.290816;0.237245;0.242347
matemakk;0.282653;0.236735;0.220918;0.259694
CarlosMalleco;0;0;0;1
GoldenPatagonia;0.230102;0.294388;0.224235;0.251276
pablowhipple;0.24397;0.268089;0.24397;0.24397
endocupacionove;0.246173;0.294388;0.240306;0.219133
grupoLOBE;0.273191;0.29731;0.21475;0.21475
Nube_Cowork;0.241497;0.27551;0.241497;0.241497
ManuelRauchP;0.263636;0.292532;0.180195;0.263636
carlosp_114;0;1;0;0
valdijeanette;0;1;0;0
aryriveros;1;0;0;0
kjaramilloy;0.255952;0.291667;0.184524;0.267857
sebastian_it;0;1;0;0
aldeduarte;0.248214;0.268304;0.202232;0.28125
Rodrint;0.232143;0.278571;0.266071;0.223214
granguru;0;1;0;0
Esteladouma;0.217293;0.260902;0.230639;0.291165
SyrosBar;0;1;0;0
ObtenerBitcoin;0.290841;0.260253;0.188653;0.260253
puelopatagonia;0;1;0;0
canela_angels;0.221429;0.285714;0.264286;0.228571
MAWAEDINSON;0.214286;0.290476;0.247619;0.247619
ebiset1;0.232143;0.278571;0.235714;0.253571
Sol_OrtizCortes;0;1;0;0
mangelhv;0.223214;0.294643;0.241071;0.241071
thomaz_pereira;0.24504;0.277183;0.184524;0.293254
AlexpZun;0.279975;0.26148;0.197066;0.26148
rpacheco01;0.245798;0.283613;0.22584;0.244748
CamiloBarra;0.22619;0.257143;0.22619;0.290476
AleBravo_Lex;0.209707;0.253205;0.259158;0.27793
vixhobhul;0.278571;0.247619;0.22619;0.247619
LauraPueyrredon;0;0.633333;0;0.366667
datanerdses;0.223214;0.289286;0.223214;0.264286
Byron_Cardenas_;0;0.253711;0.345479;0.40081
HumedalMaule;0.236735;0.282653;0.243878;0.236735
mvh07;0.256696;0.28125;0.200893;0.261161
SurJohnnySur;0;1;0;0
patagoniahappy;0.218537;0.27551;0.241497;0.264456
7af4ee10f8f8439;0.202468;0.288078;0.254727;0.254727
BarrazaVillo;0.204762;0.269048;0.247619;0.278571
Pao_Andrea81;0.235204;0.235204;0.235204;0.294388
gustavo_del_sur;0.294643;0.263393;0.174107;0.267857
LecheNIDO;0.245671;0.274892;0.233766;0.245671
mibouza;0.2164;0.270677;0.292058;0.220865
MovilhNuble;0.241071;0.279762;0.252976;0.22619
MoniDeLana;0.22619;0.267857;0.252976;0.252976
Roc32872298;0.241497;0.258503;0.218537;0.281463
SpritzCoin;0.272727;0.242424;0.272727;0.212121
amofyd;0.279605;0.296523;0.211936;0.211936
AlexPler_;0.286352;0.246173;0.201212;0.266263
JorgeMirandaDJ1;0.247253;0.271978;0.26511;0.215659
almirante212141;0.242424;0.272727;0.242424;0.242424
shihavul;0;0;0;1
smatthyaggro;0.282051;0.230769;0.205128;0.282051
Paulicorreaok;0.276786;0.223214;0.25;0.25
AngieUrzua09;0.278571;0.275;0.192857;0.253571
jota24hot;0.25;0.232143;0.25;0.267857
OsitoMatiasCl;0.208163;0.262245;0.235204;0.294388
LorenaKullmer;0.23852;0.284439;0.23852;0.23852
JonathanGaticaR;0;0.6;0;0.4
ToneOberti;0.233766;0.298701;0.233766;0.233766
delacatoradio;0.271978;0.283883;0.209707;0.234432
bastycoolrap;0.267113;0.287202;0.178571;0.267113
pactochileverde;0.242695;0.271916;0.222403;0.262987
jenny_constanza;0.201786;0.244643;0.266071;0.2875
mrmar714;0.251276;0.286352;0.231186;0.231186
AzocarRisco;0.23852;0.284439;0.23852;0.23852
luchitopollito;0.266071;0.210714;0.257143;0.266071
EPInforma;0.25;0.25;0.25;0.25
BlackZeEr0_;0.241497;0.281463;0.258503;0.218537
CarlosC16554599;0.232143;0.291667;0.238095;0.238095
ClanSiciliano;0.246173;0.294388;0.240306;0.219133
PontosX;0.251276;0.286352;0.231186;0.231186
zxligf;0.271978;0.197802;0.240385;0.289835
ComberCatalina;0;0.366667;0.633333;0
CAA_Official;0.222222;0.289683;0.244048;0.244048
DaroRoj70124166;0;1;0;0
besmartcitycom;0.260204;0.297959;0.228571;0.213265
CapthorCarlos;0.278571;0.210714;0.266071;0.244643
Giovann56636968;0.22619;0.28254;0.20873;0.28254
SashGanache;0.22619;0.246032;0.22619;0.301587
aligthebaptist;0.290179;0.258929;0.209821;0.241071
omaldonadom;0;0.64;0.36;0
alexnicco;0;1;0;0
tatifabres;0.175137;0.280907;0.271978;0.271978
empleoturismo;0.285714;0.246429;0.210714;0.257143
dcmispa;0.236735;0.282653;0.220918;0.259694
h3012_k;0.257143;0.257143;0.275;0.210714
MiguelR24383860;0.251429;0.298095;0.22;0.230476
JayJay22822806;0.254396;0.279121;0.254396;0.212088
GabrielaBaacur;0.215126;0.290756;0.222269;0.271849
MarianPellet;0.240284;0.288078;0.235819;0.235819
NHilcre;0.21875;0.28125;0.258929;0.241071
OsornoDatos;0.225877;0.293546;0.220865;0.259712
AlexCofian;0.244048;0.285714;0.196429;0.27381
nonalopezpena;0.267347;0.294388;0.213265;0.225
__hiixe;1;0;0;0
labcafecl;0;1;0;0
adelgazandorapi;0.248214;0.275;0.228571;0.248214
nchoas350;0.296053;0.407895;0.296053;0
djkosquy;0.235544;0.290816;0.232143;0.241497
harryforniano;0.253205;0.259158;0.209707;0.27793
Gabo_maniaco;0.211097;0.251276;0.251276;0.286352
miguel89166381;0.231456;0.280907;0.231456;0.256181
PaynowChile;0.240385;0.280907;0.231456;0.247253
Valeska54970167;0.4;0;0;0.6
ElPalalo;0.242985;0.295281;0.197066;0.264668
ViudosDeLaUno;0.196429;0.291667;0.238095;0.273809
Paula50385593;0.22619;0.293793;0.213861;0.266156
mwisyoki1;0.285714;0.285714;0.214286;0.214286
claudio_ob;0.245671;0.262987;0.245671;0.245671
felipeaqq;0.229555;0.279503;0.191511;0.299431
bastynaxo1;0.258242;0.247253;0.222527;0.271978
biosolucion_cl;0.257143;0.285714;0.2;0.257143
Darthfabi1;0.254396;0.279121;0.212088;0.254396
natho47;0.241071;0.276786;0.241071;0.241071
Leonidas_1957;0.23852;0.279975;0.220026;0.26148
Isa_apruebo;0.278316;0.294388;0.197194;0.230102
IdabelMartinez;0.259694;0.282653;0.205102;0.252551
CarlosLamiral;0;1;0;0
agrarios_DC;0.275;0.267857;0.228571;0.228571
Constanzaab;0.252941;0.290756;0.252941;0.203361
Veromorenoa;0.252976;0.279762;0.22619;0.241071
JorgeFistonic;0.243506;0.295455;0.202922;0.258117
Abelardo_cl;0.257143;0.225;0.292857;0.225
AntonioBrMe;0;1;0;0
guzanaz;0;0.35;0;0.65
munisanjoaquin;0.273066;0.252976;0.180804;0.293155
amadainob00m23;0.289286;0.262245;0.224235;0.224235
felipeStreitt;0.260902;0.287594;0.227068;0.224436
rulsa65;0.189286;0.266071;0.278571;0.266071
InsVillavicenc2;0.228571;0.264286;0.221429;0.285714
Ovejaroja1;1;0;0;0
AChiDerConst;0.228896;0.295455;0.206169;0.26948
levitacioon;0.218537;0.264456;0.235544;0.281463
Luisalvarezcor4;0;1;0;0
paraelespiritu;0.241497;0.296769;0.195578;0.266156
robsonvalech;0;0.366667;0.633333;0
walema197;0;1;0;0
RealVero;0.245671;0.274892;0.262987;0.21645
MatiasF68331506;0.247253;0.280907;0.215659;0.256181
rgdraw2019;0.234432;0.27793;0.22848;0.259158
IgnacioOvalle42;0.222269;0.290756;0.234034;0.252941
cdmigliardi;0.279082;0.240306;0.220918;0.259694
edinson_garcia;0.247619;0.284524;0.204762;0.263095
courage_yss;0.27551;0.241497;0.264456;0.218537
RedPE_Chile;0.233766;0.262987;0.233766;0.269481
jano1510;0.236607;0.294643;0.214286;0.254464
INDAP_Tarapaca;0.237605;0.287185;0.237605;0.237605
G0nzal0__;0.291165;0.260902;0.200376;0.247556
kingmota23;0;1;0;0
SilverKlary;0.276786;0.232143;0.25;0.241071
jmbelmar;0.285714;0.261905;0.208333;0.244048
PCryptonaut;0.222527;0.247253;0.222527;0.307692
FutbolTotalLS;0.36;0.64;0;0
juankfromchile;0.291562;0.278613;0.214912;0.214912
MarzukaAllen;0.222527;0.283883;0.234432;0.259158
aderesoapps;0.241497;0.281463;0.235544;0.241497
ssoler7;0;1;0;0
apostology;0;1;0;0
Kitty_Alexandra;0.232143;0.257143;0.232143;0.278571
arody24_9;0.23852;0.284439;0.215561;0.26148
Christo94824127;0;0.375;0.25;0.375
Charliebravo_;0;1;0;0
ParcasReplicas;0.221376;0.26917;0.221376;0.288078
_HECTOR_MORALES;0.225;0.289286;0.242857;0.242857
previeneputre;0;0;1;0
JRHecknen;0.221939;0.280612;0.239796;0.257653
ociobar;0.328947;0.407895;0;0.263158
CWFoficial;0.256181;0.256181;0.206731;0.280907
PinnaclePub;0.290179;0.258929;0.209821;0.241071
jose62572645;0.232143;0.285714;0.241071;0.241071
TheDarkSideBSB;0.228571;0.264286;0.221429;0.285714
AleChalot;0.241667;0.284524;0.241667;0.232143
josedancourt;0;0;0.5;0.5
Galatasaray_net;0.223214;0.290816;0.242985;0.242985
_Chicharin_;0.283613;0.264706;0.222269;0.229412
TesoroMoctezuma;0;0;1;0
Juan_Luis61;0.245238;0.302381;0.22619;0.22619
RationalSettler;0.233766;0.269481;0.262987;0.233766
Marcela55352647;0.290756;0.271849;0.215126;0.222269
_Mckenzzie13;0.292857;0.228571;0.185714;0.292857
taniabusch;0.25;0.25;0.25;0.25
franopac;1;0;0;0
tqwbeoiwnyff;0.242695;0.271916;0.242695;0.242695
katitadelbosque;0;0.642857;0.357143;0
Rod22189285;0;0.35;0.65;0
MariiJacksonn;0.261905;0.297619;0.208333;0.232143
GonzaloFuentesM;0.258929;0.28125;0.220982;0.238839
MauricioZava;0.204762;0.263095;0.284524;0.247619
CostaMagazine;0.247619;0.284524;0.220238;0.247619
ThoL00285452;0;0;0.41;0.59
adelantecfuerza;0.199405;0.273809;0.252976;0.273809
Jorgecavierest1;0.271978;0.247253;0.240385;0.240385
CihanSadogluCL;0.247253;0.271978;0.233516;0.247253
Seba253700500;0.236288;0.286352;0.251276;0.226084
RauchClaudio;0.269048;0.290476;0.204762;0.235714
rick_criado;1;0;0;0
Fac_Ing_UCT;0.251623;0.280844;0.233766;0.233766
nimbusoutdoor;0.222527;0.280907;0.240385;0.256181
patriciowong;0.230442;0.264456;0.229592;0.27551
kohli_pawandeep;0.264319;0.303242;0.16812;0.264319
antodlt1;0.241071;0.214286;0.258929;0.285714
NataPinilla;0;1;0;0
RomanButron;0.216912;0.288078;0.240284;0.254727
DavidMo91144679;0.207143;0.264286;0.285714;0.242857
cotecotilla;0.257143;0.257143;0.228571;0.257143
etrnosevillista;1;0;0;0
danteSouth666;0.234694;0.295918;0.229592;0.239796
sebastian245ign;0.298701;0.233766;0.233766;0.233766
kuroonai;0.235819;0.206933;0.264706;0.292542
SethDemian76;0.232887;0.267113;0.212798;0.287202
galazpuntocl;1;0;0;0
RorreteLlanos;0.41;0;0;0.59
UnidosxAntof;0;0;0;1
tali_ulloa;0;0;0;1
GRAFICA_EFECTIV;0.232143;0.276786;0.223214;0.267857
catlina1998;0.242857;0.285714;0.207143;0.264286
GoldCreekVR;0.257937;0.289683;0.22619;0.22619
Camiloparada;0.2;0.285714;0.228571;0.285714
villegasmauro;0.241169;0.298961;0.218701;0.241169
Blackmamba5802;1;0;0;0
ToddTemkin;0.252551;0.284439;0.201531;0.26148
LunaticMenace;0.246429;0.257143;0.210714;0.285714
EcycleE;0.22619;0.294643;0.22619;0.252976
OyeJoce;0.232143;0.296429;0.192857;0.278571
Acuipesca1;0;1;0;0
Highfidelity_86;0.242695;0.271916;0.242695;0.242695
KennyTuitero;0.229464;0.29375;0.226786;0.25
Roberto_Trobajo;0.249008;0.285218;0.232887;0.232887
ForoGatoFlaco;0.231456;0.280907;0.256181;0.231456
gamenickname;0.286352;0.266263;0.201212;0.246173
n074b07;0.244643;0.2875;0.223214;0.244643
enadeoufro2015;0.322055;0.406015;0;0.27193
Edagg20;0.237987;0.292532;0.23474;0.23474
Recipallet_;0.25;0.264286;0.2;0.285714
bea_acu;0;0;0;1
peyuconegro;0.248214;0.288393;0.215179;0.248214
mtoledoaguilera;0.244748;0.283613;0.189076;0.282563
quizasconquien;0.234432;0.221612;0.271978;0.271978
ale_mztt;0;0.35;0.65;0
tavoymarciasa;0.279975;0.26148;0.197066;0.26148
supersonic_sky;0.218881;0.291562;0.227861;0.261696
suazo_sara;0.242794;0.293546;0.242794;0.220865
CALABOZOGAMES;0;0;1;0
marioe_91;0.239796;0.280612;0.239796;0.239796
Reach2Clean;0.271022;0.296226;0.186933;0.245819
edwdean;0.247619;0.290476;0.183333;0.278571
MAKKA59018048;0.288078;0.254727;0.216912;0.240284
djinnoadonai;0.255357;0.288393;0.208036;0.248214
taimante;0.232843;0.289566;0.251751;0.22584
RancaguaBike;0.235714;0.290816;0.236735;0.236735
AtasoyAtil;0.208163;0.262245;0.235204;0.294388
33Santyago;0.172619;0.252976;0.287202;0.287202
cgonzalezlucay;0.236813;0.279121;0.204945;0.279121
CompArtecl;0.240385;0.271978;0.222527;0.26511
besnier_myriam;0.247449;0.270408;0.206633;0.27551
ecoforlifeeu;0.372807;0;0.313596;0.313596
FansBose_Arg;0.264286;0.285714;0.192857;0.257143
gabi_rp;0.247253;0.289835;0.26511;0.197802
Mabelufy;0.25;0.297619;0.22619;0.22619
angiecafe5;0;1;0;0
contactequestre;0;0;1;0
fresiasoltof;0.234375;0.285714;0.25;0.229911
Anselmo88546900;0.264456;0.218537;0.241497;0.27551
EvradeWilliam;0;0;0;1
WeAreLogikk;0.232887;0.261161;0.212798;0.293155
desbordes;0;0.280702;0.385965;0.333333
puntopulido;1;0;0;0
danielltremont;0;1;0;0
atomicahormiga;0.223214;0.2875;0.244643;0.244643
BCRLiveStream;0.241071;0.290179;0.209821;0.258929
AdilKARAKOYUN;0;0.344737;0.263158;0.392105
malphursgroup;0.290179;0.258929;0.209821;0.241071
sophieflor3nce;0;0;0;1
CarolaRodF;0;1;0;0
kekicita;0.235714;0.290816;0.236735;0.236735
CarlosCarrascoV;0.229911;0.285714;0.234375;0.25
JuampiVEN;0;1;0;0
PorotoCopp;0;0;0.366667;0.633333
dieterwinkler1;0.280612;0.239796;0.19898;0.280612
rsepulv1;0.236905;0.279167;0.194643;0.289286
valenti89459314;0;0.67619;0;0.32381
CochraneCMG;0.241071;0.25;0.241071;0.267857
arnoschavemake2;0;0;0;1
Pamee_NJ;0.232268;0.29995;0.214036;0.253746
M_Carrasco_H;0.241497;0.281463;0.22449;0.252551
vitorio74;0;1;0;0
carlitosgo_;0.282653;0.236735;0.197959;0.282653
teresanchezd;0;0.46;0;0.54
MillaValeriaa;0.266071;0.2875;0.223214;0.223214
aricandemirjo4;0.253205;0.259158;0.209707;0.27793
rugbistajorge;0.241497;0.281463;0.195578;0.281463
angeleonor;0.236607;0.258929;0.214286;0.290179
Jorgazo;0.221429;0.282653;0.197959;0.297959
redperiofem;0.45;0.55;0;0
NachoUCH2;0.283883;0.247253;0.234432;0.234432
thaliaonly1;0.210714;0.232143;0.278571;0.278571
InduAmbiente;0.233766;0.298701;0.233766;0.233766
fbarrerarenas;0.237605;0.287185;0.237605;0.237605
chamacojunior;0.245918;0.283673;0.262245;0.208163
javiera_2714;0.235714;0.257143;0.296429;0.210714
LarcosLuis;0;1;0;0
HRebelof;0.189076;0.282563;0.226891;0.301471
thvvvvvlia;0.284439;0.26148;0.206633;0.247449
rafa_sagredo;0.222496;0.302237;0.203305;0.271962
nany_pierre;0;0;0;1
jorgemoraga53;0.200893;0.238839;0.28125;0.279018
balthrashar;0.236813;0.279121;0.254396;0.22967
Janocereo1;0.228571;0.275;0.221429;0.275
carolavirus;1;0;0;0
rufual;0.222527;0.247253;0.258242;0.271978
nathaliewalk;0.236735;0.294388;0.201531;0.267347
CarlaAlarcn;0.23852;0.279974;0.23852;0.242985
