followee;follower;id_followee;id_follower;followee_count;followers_count
Cooperativa;PrimeTecCap;0;2018;160;53
Cooperativa;nuezleslie1;0;114;7;0
Cooperativa;BibliotecaElec1;0;2524;113;20
Cooperativa;AgustoRomero7;0;851;50;0
latercera;AgustoRomero7;2;851;50;0
elmostrador;AgustoRomero7;3;851;50;0
psanchezbarria;AgustoRomero7;8547;851;50;0
Cooperativa;Jair58939026;0;177;6;0
Cooperativa;Natalia83888438;0;2684;35;1
latercera;Natalia83888438;2;2684;35;1
elmostrador;Natalia83888438;3;2684;35;1
Cooperativa;Constanzapertu1;0;2779;0;2
elmostrador;Constanzapertu1;3;2779;0;2
abbacopropiedad;Constanzapertu1;22944;2779;0;2
Donacaritto;Constanzapertu1;10292;2779;0;2
Cooperativa;Benjami51440520;0;1591;21;0
Cooperativa;ignacio_chodil;0;2396;31;0
latercera;ignacio_chodil;2;2396;31;0
Cooperativa;Macaherreraflo1;0;738;84;3
latercera;Macaherreraflo1;2;738;84;3
elmostrador;Macaherreraflo1;3;738;84;3
Cooperativa;Jonatha05822328;0;865;21;1
elmostrador;Jonatha05822328;3;865;21;1
Cooperativa;DaniloCisterna9;0;333;47;3
MiryamPVO;DaniloCisterna9;16105;333;47;3
Cooperativa;Diego12523448;0;1516;23;0
elmostrador;Diego12523448;3;1516;23;0
pablo_ruiz15;Diego12523448;38205;1516;23;0
Cooperativa;maggie22067592;0;2792;56;1
elmostrador;maggie22067592;3;2792;56;1
Cooperativa;CeciSmith8;0;1295;6;0
aros9768;CeciSmith8;39209;1295;6;0
coni55534586;CeciSmith8;19776;1295;6;0
Cooperativa;AndrewM41812409;0;2344;16;0
Cooperativa;Francis62401436;0;1148;21;3
latercera;Francis62401436;2;1148;21;3
elmostrador;Francis62401436;3;1148;21;3
Alwarrior2;Francis62401436;36755;1148;21;3
Cooperativa;Daniel21801544;0;1972;11;0
latercera;Daniel21801544;2;1972;11;0
Cooperativa;Daniela19587063;0;2297;18;0
latercera;Daniela19587063;2;2297;18;0
Cooperativa;DanielO27296834;0;926;39;0
latercera;DanielO27296834;2;926;39;0
Cooperativa;Alejandraan12;0;1651;8;0
casiop3a;Alejandraan12;26326;1651;8;0
Cooperativa;papa_calderon;0;2307;30;0
latercera;papa_calderon;2;2307;30;0
Rodolfomarin;papa_calderon;15861;2307;30;0
Cooperativa;betyfarias2;0;617;27;1
latercera;betyfarias2;2;617;27;1
richi195261;betyfarias2;12662;617;27;1
Cooperativa;LauraChavezBra1;0;310;9;3
Vian_LeBlac;LauraChavezBra1;3537;310;9;3
Cooperativa;Claudio95790916;0;1303;12;1
LuisMoragaCast2;Claudio95790916;24306;1303;12;1
reset5432101;Claudio95790916;28517;1303;12;1
Cooperativa;jessroj40083887;0;461;13;0
guiselmr;jessroj40083887;38624;461;13;0
Cooperativa;JuanPab89803067;0;484;7;0
marielapinuer;JuanPab89803067;22477;484;7;0
Cooperativa;barhi_mol;0;896;9;0
Cooperativa;karleb7;0;572;61;0
Cooperativa;guzman_leslyn;0;2852;95;0
latercera;guzman_leslyn;2;2852;95;0
elmostrador;guzman_leslyn;3;2852;95;0
Cooperativa;Atos51765915;0;45;9;0
sofii_cg31;Atos51765915;3010;45;9;0
Cooperativa;Paulopa98096229;0;62;42;0
latercera;Paulopa98096229;2;62;42;0
Cooperativa;ArjelTatiana;0;2799;21;0
latercera;ArjelTatiana;2;2799;21;0
elmostrador;ArjelTatiana;3;2799;21;0
Cooperativa;munoz_mieres;0;2582;29;0
latercera;munoz_mieres;2;2582;29;0
elmostrador;munoz_mieres;3;2582;29;0
Katona_Rojas;munoz_mieres;13160;2582;29;0
Cooperativa;Luciano3892;0;1727;23;2
Cooperativa;Oliden44020088;0;1345;11;0
Cooperativa;ValeskaHenriq16;0;1549;31;0
Cooperativa;matias_witt;0;2283;58;1
latercera;matias_witt;2;2283;58;1
elmostrador;matias_witt;3;2283;58;1
PabloHernndezC3;matias_witt;10852;2283;58;1
Cooperativa;MonicaC97980800;0;80;31;2
elmostrador;MonicaC97980800;3;80;31;2
Cooperativa;Mara89941572;0;312;11;0
Cooperativa;Vicho20575557;0;1423;20;1
Cooperativa;David87066943;0;1503;13;0
Cooperativa;AEcosofia;0;412;43;2
elmostrador;AEcosofia;3;412;43;2
Cooperativa;danyb86913803;0;2965;38;3
elmostrador;danyb86913803;3;2965;38;3
panchorockst;danyb86913803;5668;2965;38;3
Cooperativa;Miguel62384952;0;1888;10;0
Cooperativa;ElithaErzsebet;0;1036;67;1
Cooperativa;Lili70225637;0;1455;27;0
latercera;Lili70225637;2;1455;27;0
elmostrador;Lili70225637;3;1455;27;0
ThomRainer;Lili70225637;8406;1455;27;0
Cooperativa;JoseTrato;0;153;11;0
elmostrador;JoseTrato;3;153;11;0
ivanrdevia;JoseTrato;40845;153;11;0
Cooperativa;nostacop;0;1846;99;0
elmostrador;nostacop;3;1846;99;0
Rubn06047752;nostacop;882;1846;99;0
Cooperativa;Nicolas43099616;0;687;33;0
Cooperativa;fabinmelincast1;0;2861;32;1
LicanRayComuna;fabinmelincast1;38780;2861;32;1
Cooperativa;RenatoT94328017;0;938;93;2
Cooperativa;josueleo344;0;1622;43;0
elmostrador;josueleo344;3;1622;43;0
Cooperativa;Ariel_alfonsooo;0;150;6;0
Cooperativa;augustozuiga7;0;2309;41;1
Cooperativa;Natalia45682481;0;2118;32;2
pixelchileno;Natalia45682481;3374;2118;32;2
Mara64579840;Natalia45682481;1184;2118;32;2
MielDignidad;Natalia45682481;18578;2118;32;2
chingonaMarian;Natalia45682481;4413;2118;32;2
true_factory;Natalia45682481;14836;2118;32;2
Cooperativa;MauroEx57553526;0;302;16;1
siegel_lab;MauroEx57553526;8119;302;16;1
Cooperativa;Alejand83327714;0;1989;21;0
fpivan;Alejand83327714;32771;1989;21;0
muquillazaeve;Alejand83327714;33533;1989;21;0
Cooperativa;TraroMaria;0;547;9;0
elizabethceci89;TraroMaria;459;547;9;0
MaraCas75781553;TraroMaria;978;547;9;0
3riking;TraroMaria;14581;547;9;0
Cooperativa;Orlando72071306;0;2053;16;0
latercera;Orlando72071306;2;2053;16;0
Cooperativa;EggersAlexandra;0;2393;30;0
latercera;EggersAlexandra;2;2393;30;0
Cooperativa;marimbang;0;2017;174;262
Cooperativa;Toxikomano1;0;1456;17;1
Papelillolillo_;Toxikomano1;1461;1456;17;1
Siemprefunada;Toxikomano1;33185;1456;17;1
Cooperativa;Natalia49016590;0;1708;78;0
latercera;Natalia49016590;2;1708;78;0
Cooperativa;parrasaav_m;0;2753;10;0
MonicaArroyoMom;parrasaav_m;34776;2753;10;0
manegritto;parrasaav_m;9637;2753;10;0
Cooperativa;Papelillolillo_;0;1461;140;40
percasita;Papelillolillo_;9365;1461;140;40
Cooperativa;cbazignan1;0;397;10;6
Cooperativa;JosTorr13664046;0;2633;23;1
Cooperativa;Rich_Guaracha;0;1518;96;11
latercera;Rich_Guaracha;2;1518;96;11
elmostrador;Rich_Guaracha;3;1518;96;11
quilombosfera;Rich_Guaracha;23249;1518;96;11
Cooperativa;zulysnid25;0;2504;114;2
antoniomirann;zulysnid25;18849;2504;114;2
MarioHamuy;zulysnid25;34611;2504;114;2
Cooperativa;juan76962466;0;2659;12;0
elietteampuero;juan76962466;2158;2659;12;0
GpHistorico;juan76962466;17762;2659;12;0
Cooperativa;deyanir69247131;0;2587;71;0
Cooperativa;karla_proboste;0;1049;65;0
2123Ignacio;karla_proboste;864;1049;65;0
Cooperativa;ToniaMa82130888;0;1974;234;37
HappyRoom2;ToniaMa82130888;24157;1974;234;37
Cooperativa;javierzunigasaa;0;1863;121;0
latercera;javierzunigasaa;2;1863;121;0
elmostrador;javierzunigasaa;3;1863;121;0
Felipeavegam;javierzunigasaa;1382;1863;121;0
bluue_____;javierzunigasaa;24596;1863;121;0
Cooperativa;Gerson07465461;0;157;11;0
ampliadodeltren;Gerson07465461;15370;157;11;0
Cooperativa;karin98155757;0;48;49;0
latercera;karin98155757;2;48;49;0
Cooperativa;Carol1131702499;0;1386;20;0
latercera;Carol1131702499;2;1386;20;0
Cooperativa;Valeria10320521;0;2891;19;1
elmostrador;Valeria10320521;3;2891;19;1
juanin_y;Valeria10320521;686;2891;19;1
yere_simon;Valeria10320521;986;2891;19;1
Biciemporio;Valeria10320521;33790;2891;19;1
Cooperativa;Ivonne60088198;0;1885;46;2
latercera;Ivonne60088198;2;1885;46;2
elmostrador;Ivonne60088198;3;1885;46;2
AlexAlarconHein;Ivonne60088198;37131;1885;46;2
cindysoh;Ivonne60088198;25273;1885;46;2
Cooperativa;cmerinogarcia;0;1712;30;0
elmostrador;cmerinogarcia;3;1712;30;0
Cooperativa;BarredaNikol;0;78;41;0
elmostrador;BarredaNikol;3;78;41;0
Cooperativa;Imvc10;0;2327;64;0
juanpablopsiq;Imvc10;36219;2327;64;0
PelotaMia;Imvc10;6473;2327;64;0
Cooperativa;Valeriapauli1;0;2539;145;2
latercera;Valeriapauli1;2;2539;145;2
Cooperativa;claudia57497589;0;639;89;3
latercera;claudia57497589;2;639;89;3
elmostrador;claudia57497589;3;639;89;3
Cooperativa;CarlosPozoOliv1;0;1140;445;80
Cooperativa;Elizabeth864161;0;1161;34;0
Cooperativa;FyneeDs;0;900;79;13
Soledad_Purpura;FyneeDs;23000;900;79;13
CorpUdechile;FyneeDs;30499;900;79;13
Cooperativa;JorgeSa65669897;0;392;19;0
en1mes;JorgeSa65669897;17029;392;19;0
3hi66UXOKZSVPSv;JorgeSa65669897;40751;392;19;0
sumattemas;JorgeSa65669897;25386;392;19;0
Cooperativa;mariapazVEGADI1;0;415;29;0
latercera;mariapazVEGADI1;2;415;29;0
elmostrador;mariapazVEGADI1;3;415;29;0
Lillian90415339;mariapazVEGADI1;4025;415;29;0
Cooperativa;AaaaMillaa;0;514;40;0
elmostrador;AaaaMillaa;3;514;40;0
Cooperativa;MarlynCorts1;0;2676;0;1
latercera;MarlynCorts1;2;2676;0;1
Cooperativa;SergioE87523044;0;433;61;0
enzo_prr_;SergioE87523044;28798;433;61;0
Angel725615822;SergioE87523044;23707;433;61;0
eventsysca;SergioE87523044;23511;433;61;0
Cooperativa;RamiroP57518569;0;1054;51;1
latercera;RamiroP57518569;2;1054;51;1
elmostrador;RamiroP57518569;3;1054;51;1
yerkitsch;RamiroP57518569;27149;1054;51;1
Cooperativa;Fernand62396626;0;1774;15;0
latercera;Fernand62396626;2;1774;15;0
elmostrador;Fernand62396626;3;1774;15;0
Cooperativa;KarenLealReyes2;0;2339;203;24
Cooperativa;Andrea30585180;0;577;22;0
latercera;Andrea30585180;2;577;22;0
Cooperativa;Gabriel02744406;0;350;63;7
latercera;Gabriel02744406;2;350;63;7
elmostrador;Gabriel02744406;3;350;63;7
rodrigo_shady29;Gabriel02744406;41220;350;63;7
smanterolad;Gabriel02744406;5200;350;63;7
Cooperativa;CarlosBravoA3;0;281;58;0
elmostrador;CarlosBravoA3;3;281;58;0
ManeatGrass;CarlosBravoA3;37570;281;58;0
Cooperativa;PaulaXPenalolen;0;178;84;24
latercera;PaulaXPenalolen;2;178;84;24
nicogh;PaulaXPenalolen;4736;178;84;24
IradaSaputra;PaulaXPenalolen;38062;178;84;24
Cooperativa;NajleMaria;0;2324;33;1
elmostrador;NajleMaria;3;2324;33;1
Cooperativa;CesarRi11107977;0;353;26;0
latercera;CesarRi11107977;2;353;26;0
Cooperativa;FulgeriMaurizio;0;1590;33;5
pornorteno;FulgeriMaurizio;16745;1590;33;5
Estrella8732;FulgeriMaurizio;17084;1590;33;5
Cooperativa;Fernand01653657;0;2534;24;3
elmostrador;Fernand01653657;3;2534;24;3
Cooperativa;Biobios4;0;41843;392;494
Sr_Banana_;Biobios4;37352;41843;392;494
Cooperativa;cristof20123109;0;1650;16;0
Florencia_Pink;cristof20123109;16186;1650;16;0
Cooperativa;RosaGutirrezTo2;0;1446;29;1
Cooperativa;veloso_cuevas;0;2601;98;3
latercera;veloso_cuevas;2;2601;98;3
Gemmasal2;veloso_cuevas;5693;2601;98;3
Cooperativa;claudio66938721;0;442;21;0
latercera;claudio66938721;2;442;21;0
PeugeotCL;claudio66938721;8298;442;21;0
Cooperativa;SandraE97460538;0;2069;22;0
elmostrador;SandraE97460538;3;2069;22;0
La_Sutto;SandraE97460538;23349;2069;22;0
picalajaiba;SandraE97460538;20676;2069;22;0
Cooperativa;RutaVioleta;0;1813;173;18
latercera;RutaVioleta;2;1813;173;18
elmostrador;RutaVioleta;3;1813;173;18
Ascetic0;RutaVioleta;5428;1813;173;18
ArteYessie;RutaVioleta;20759;1813;173;18
Cooperativa;Diegs87711149;0;363;17;0
ninos_1ro;Diegs87711149;21423;363;17;0
Cooperativa;ErnaParra;0;1879;34;1
Cooperativa;Paulamatus12;0;506;92;0
latercera;Paulamatus12;2;506;92;0
yoluis2016;Paulamatus12;26512;506;92;0
camilapfer;Paulamatus12;32517;506;92;0
Cooperativa;Fcosvs;0;888;7;0
pkitty_33;Fcosvs;4508;888;7;0
Cooperativa;Patrici54616959;0;2716;25;0
Cooperativa;DiegoVi06368321;0;2146;43;0
elmostrador;DiegoVi06368321;3;2146;43;0
terrymcl75;DiegoVi06368321;14800;2146;43;0
Cooperativa;SabrySsmnar;0;1623;222;26
Cooperativa;DoctorRed95;0;2244;693;65
YarelaAysen;DoctorRed95;1589;2244;693;65
Cooperativa;galdames_pavez;0;2002;75;25
Cooperativa;JorgePi57364073;0;1999;6;0
latercera;JorgePi57364073;2;1999;6;0
juantoko;JorgePi57364073;37156;1999;6;0
Cooperativa;RoxanaE56944578;0;2617;73;1
elmostrador;RoxanaE56944578;3;2617;73;1
veroaastudillo;RoxanaE56944578;39631;2617;73;1
Cooperativa;macpalominos;0;1666;16;18
Cooperativa;Fran62032423;0;2542;22;1
Cooperativa;patyPea49955139;0;290;68;3
Cooperativa;angy38963753;0;1795;402;11
latercera;angy38963753;2;1795;402;11
elmostrador;angy38963753;3;1795;402;11
Cooperativa;Ricardo65155493;0;2754;11;0
Cooperativa;Constan31430771;0;541;10;0
Fabian_samba;Constan31430771;29861;541;10;0
Cooperativa;PipeOcampo1211;0;820;32;1
Cooperativa;rodrigo48571693;0;1751;103;1
JRochaalcalde;rodrigo48571693;50;1751;103;1
Cooperativa;JesseniaLobos;0;382;9;0
Cooperativa;Rai93925790;0;2061;50;0
elmostrador;Rai93925790;3;2061;50;0
Cooperativa;anaishe41331857;0;172;6;0
elmostrador;anaishe41331857;3;172;6;0
Cooperativa;Ksksksnss1;0;1824;5;0
ChileanFress;Ksksksnss1;2413;1824;5;0
Cooperativa;Panchoalbo24on2;0;1820;39;0
GABRIEL62394433;Panchoalbo24on2;26887;1820;39;0
adarsha00;Panchoalbo24on2;12302;1820;39;0
Cooperativa;Ignacio32752209;0;568;156;3
alonsoecon;Ignacio32752209;38457;568;156;3
Cooperativa;parraguez86;0;2804;102;29
Cooperativa;Manecita_2812;0;630;28;0
latercera;Manecita_2812;2;630;28;0
Cooperativa;VictorA85976716;0;2229;13;0
Cooperativa;LopezPamelop;0;2858;91;249
NiicoYork;LopezPamelop;31743;2858;91;249
Cooperativa;kongpizzy;0;1298;343;18
Cooperativa;AbrasaxDemian;0;2586;65;1
Cooperativa;panxito_26;0;920;58;2
elmostrador;panxito_26;3;920;58;2
Cooperativa;Michael22194978;0;1701;21;0
latercera;Michael22194978;2;1701;21;0
Cooperativa;NelsonO14477310;0;2681;100;3
eruiling;NelsonO14477310;41366;2681;100;3
Cooperativa;demiiurgoo;0;2550;31;0
elmostrador;demiiurgoo;3;2550;31;0
GCalupin;demiiurgoo;37332;2550;31;0
ElManosantaCAB;demiiurgoo;28556;2550;31;0
Cooperativa;Angel86776267;0;1370;13;0
Sviaaorg;Angel86776267;24954;1370;13;0
Cooperativa;CarolGa65393875;0;464;11;0
Cooperativa;LaMazurquita;0;2426;796;755
indicadoreshoy;LaMazurquita;21166;2426;796;755
Cooperativa;85_874;0;1542;107;2
Cooperativa;metalfingers6;0;2736;182;19
lalombrizz4;metalfingers6;14848;2736;182;19
Cooperativa;GersonSeguel;0;2389;46;1
franbarriosi;GersonSeguel;17342;2389;46;1
Cooperativa;aROMBriatqlIubW;0;17;35;1
elmostrador;aROMBriatqlIubW;3;17;35;1
scottsantens;aROMBriatqlIubW;27231;17;35;1
Romybelloo;aROMBriatqlIubW;24707;17;35;1
Cooperativa;Gabriel94002652;0;2727;3;0
Cooperativa;AndresRojasMuo2;0;685;15;0
Cooperativa;SolFVVA;0;2845;79;1
elmostrador;SolFVVA;3;2845;79;1
ayudadogscatscl;SolFVVA;15042;2845;79;1
Cooperativa;jesus_sims;0;313;336;114
AmaralesJose;jesus_sims;27392;313;336;114
Cooperativa;CofreVegas;0;338;164;45
causa_iusta;CofreVegas;34833;338;164;45
FC_Elvira;CofreVegas;6780;338;164;45
AdigangAdiguno;CofreVegas;20505;338;164;45
Cooperativa;AncudChiloe_;0;2695;53;15
elmostrador;AncudChiloe_;3;2695;53;15
LetsRunTogethe1;AncudChiloe_;19405;2695;53;15
Cooperativa;xanyvina;0;1653;71;1
Cooperativa;ActualidadSobre;0;414;385;35
elmostrador;ActualidadSobre;3;414;385;35
GrindrPolvos;ActualidadSobre;25661;414;385;35
Cooperativa;edumiragu;0;1696;45;3
CMCarabineros;edumiragu;1271;1696;45;3
Cooperativa;Aliciq86313067;0;162;23;0
Cooperativa;Ahmad99359972;0;41765;412;457
Cooperativa;YasuriAraya;0;41;19;0
Cooperativa;Vaneza71436778;0;6;15;0
Cooperativa;Jordi47412170;0;2350;7;0
Cooperativa;jorgefe84545629;0;1908;36;0
elmostrador;jorgefe84545629;3;1908;36;0
Cooperativa;altidorlamothe7;0;2077;49;1
nicolashurtado;altidorlamothe7;25934;2077;49;1
peregrino1977;altidorlamothe7;31357;2077;49;1
Cooperativa;Cristob53842434;0;1053;23;1
georgecalv;Cristob53842434;26085;1053;23;1
Cooperativa;mariemorgoth;0;2080;42;1
elmostrador;mariemorgoth;3;2080;42;1
Gennosuke73;mariemorgoth;39884;2080;42;1
Cooperativa;Mattnz25;0;2222;867;102
xPollyMcbride;Mattnz25;5241;2222;867;102
Cooperativa;PODOPALUC;0;434;170;35
latercera;PODOPALUC;2;434;170;35
Chena_patagonia;PODOPALUC;939;434;170;35
Cooperativa;scarLpz2;0;2180;37;0
cuscopress;scarLpz2;19731;2180;37;0
miss_papafrita;scarLpz2;39296;2180;37;0
czar_klibar;scarLpz2;36861;2180;37;0
Cooperativa;Christhitho;0;2185;3484;2414
Jordan63536476;Christhitho;2488;2185;3484;2414
Cooperativa;JairoMskz;0;821;13;2
Siddis_Radio;JairoMskz;31042;821;13;2
ky91234567;JairoMskz;37079;821;13;2
Cooperativa;Dannycupete;0;2594;770;147
Mariaasinomas;Dannycupete;9687;2594;770;147
Cooperativa;Mariano16128194;0;2043;36;0
philodendrod;Mariano16128194;24731;2043;36;0
Cooperativa;minavedecristal;0;1981;223;39
Cooperativa;Anto63223559;0;2038;3;0
Cooperativa;pamelaa66879137;0;1983;27;1
elmostrador;pamelaa66879137;3;1983;27;1
Cooperativa;johannna2014;0;117;105;0
latercera;johannna2014;2;117;105;0
elmostrador;johannna2014;3;117;105;0
Cooperativa;Alejand12653667;0;2103;24;0
latercera;Alejand12653667;2;2103;24;0
JenniferloveHa7;Alejand12653667;19959;2103;24;0
Cooperativa;Barraza12Pamela;0;56;8;1
Cooperativa;Rodrigolopezc16;0;2008;8;1
elmostrador;Rodrigolopezc16;3;2008;8;1
Cooperativa;JSebachile;0;1498;140;25
elmostrador;JSebachile;3;1498;140;25
languages_web2;JSebachile;13681;1498;140;25
KunstLeo;JSebachile;27084;1498;140;25
Cooperativa;Gualterini;0;1566;10;1
Cooperativa;sofyastel;0;702;36;1
mizzonistuff;sofyastel;40273;702;36;1
Cooperativa;JoseSalvadorFl6;0;2672;8;1
antu1931;JoseSalvadorFl6;31060;2672;8;1
Cooperativa;YatzenMieres;0;695;18;0
InfotechKasa;YatzenMieres;8681;695;18;0
Cooperativa;karitoinexplikb;0;565;179;23
sweetrebellion_;karitoinexplikb;31927;565;179;23
Cooperativa;Cristia74444673;0;666;23;0
latercera;Cristia74444673;2;666;23;0
elmostrador;Cristia74444673;3;666;23;0
Citlali67687716;Cristia74444673;41108;666;23;0
jhidalgomd;Cristia74444673;10729;666;23;0
josevico4;Cristia74444673;5612;666;23;0
Cooperativa;AlvaroM07370493;0;1391;13;0
RoxyLeyes2;AlvaroM07370493;27625;1391;13;0
dinolover_4e;AlvaroM07370493;24836;1391;13;0
Cooperativa;TiareArancibia2;0;2820;4;1
Cooperativa;FelipeP34621354;0;862;24;0
TomWilliamtom12;FelipeP34621354;9456;862;24;0
MintrabAntofag;FelipeP34621354;40328;862;24;0
Cooperativa;Maritza83557094;0;2270;61;4
Cooperativa;iEtjisl5qjYwRqN;0;2886;26;0
elmostrador;iEtjisl5qjYwRqN;3;2886;26;0
Cooperativa;negrismarce;0;90;99;23
CaroFranckel;negrismarce;1453;90;99;23
conniverav;negrismarce;3002;90;99;23
CassanovaMarco;negrismarce;9364;90;99;23
Claudia59891347;negrismarce;32201;90;99;23
Cooperativa;DanielYez15;0;2005;29;0
latercera;DanielYez15;2;2005;29;0
elmostrador;DanielYez15;3;2005;29;0
Cooperativa;museovivodelar2;0;2317;60;0
